seed,best_epoch,threshold,val_auc,val_accuracy,val_f1,test_auc,test_accuracy,test_f1
123,14,0.011,0.9767850430125232,0.9283489096573209,0.9283489096573209,0.9635247693508502,0.8955595026642984,0.8967696629213483
17,12,0.017,0.9784284973111349,0.929595015576324,0.9263843648208469,0.9517492177063422,0.8788632326820603,0.8689973107952362
202,8,0.032,0.9645119499942526,0.9221183800623053,0.9218261413383365,0.9675591731062637,0.9030195381882771,0.8963159893657425
42,17,0.12,0.9888220253943203,0.9545171339563863,0.952994204764971,0.9691106338421397,0.8984014209591474,0.89
77,10,0.05712084679305553,0.9715176011159334,0.9177570093457944,0.917189460476788,0.9474893901895984,0.8753108348134991,0.8728721477725462
